time,lift,day_status
2015-01-08 09:15:32,Blackcomb Gondola,1
2015-01-08 09:15:54,Creekside Gondola,1
2015-01-08 09:16:15,Fitzsimmons,1
2015-01-08 09:30:37,Jersey Cream,1
2015-01-08 09:51:48,Olympic,1
2015-01-08 10:11:16,Showcase,1
2015-01-08 10:15:13,Blackcomb Glacier,1
2015-01-08 10:16:12,Catskinner,1
2015-01-08 10:16:43,Crystal,1
2015-01-08 10:20:04,Spanky's Ladder,1
2015-01-08 10:21:20,Symphony,1
2015-01-08 10:21:40,Flute Bowl,1
2015-01-09 00:00:00,T-BAR,0
2015-01-09 00:00:00,Harmony,0
2015-01-09 00:00:00,Peak 2 Peak,0
2015-01-09 00:00:00,Franz's,0
2015-01-09 00:00:00,Peak,0
2015-01-09 09:05:14,Emerald,1
2015-01-09 09:06:13,Red Chair,1
2015-01-09 09:15:14,Creekside Gondola,1
2015-01-09 09:16:13,Garbanzo,1
2015-01-09 09:16:34,Whistler Village Gondola (Lower),1
2015-01-09 09:16:34,Whistler Village Gondola,1
2015-01-09 09:18:13,Excalibur Gondola (Lower),1
2015-01-09 09:18:13,Excalibur Gondola,1
2015-01-09 09:18:33,Excelerator,1
2015-01-09 09:18:53,Blackcomb Gondola (Lower),1
2015-01-09 09:19:12,Blackcomb Gondola,1
2015-01-09 09:26:13,Fitzsimmons,1
2015-01-09 09:49:15,Jersey Cream,1
2015-01-09 10:02:23,Crystal,1
2015-01-09 10:02:42,Olympic,1
2015-01-09 10:13:12,7th Heaven,1
2015-01-09 10:13:33,Glacier,1
2015-01-09 10:15:05,Catskinner,1
2015-01-09 10:15:48,Spanky's Ladder,1
2015-01-09 10:21:06,Symphony,1
2015-01-09 10:21:19,Flute Bowl,1
2015-01-09 10:43:06,Showcase,1
2015-01-09 10:43:19,Blackcomb Glacier,1
2015-01-10 00:00:00,Franz's,0
2015-01-10 09:07:06,Emerald,1
2015-01-10 09:08:06,Red Chair,1
2015-01-10 09:10:06,Garbanzo,1
2015-01-10 09:17:05,Creekside Gondola,1
2015-01-10 09:17:19,Fitzsimmons,1
2015-01-10 09:17:32,Whistler Village Gondola,1
2015-01-10 09:17:32,Whistler Village Gondola (Lower),1
2015-01-10 09:26:05,Excalibur Gondola,1
2015-01-10 09:26:05,Excalibur Gondola (Lower),1
2015-01-10 09:26:18,Excelerator,1
2015-01-10 09:26:32,Blackcomb Gondola,1
2015-01-10 09:26:45,Blackcomb Gondola (Lower),1
2015-01-10 09:29:06,Jersey Cream,1
2015-01-10 09:47:12,Harmony,1
2015-01-10 09:47:27,Olympic,1
